id,label
0,class_6
1,class_8
2,class_4
3,class_5
4,class_5
5,class_2
6,class_2
7,class_5
8,class_5
9,class_6
10,class_7
11,class_11
12,class_9
13,class_1
14,class_3
15,class_7
16,class_6
17,class_0
18,class_8
19,class_6
20,class_9
21,class_3
22,class_0
23,class_4
24,class_11
25,class_1
26,class_6
27,class_4
28,class_6
29,class_11
30,class_10
31,class_5
32,class_8
33,class_8
34,class_4
35,class_4
36,class_2
37,class_5
38,class_8
39,class_11
40,class_4
41,class_7
42,class_5
43,class_1
44,class_7
45,class_5
46,class_3
47,class_5
48,class_7
49,class_5
50,class_5
51,class_7
52,class_10
53,class_1
54,class_10
55,class_8
56,class_5
57,class_11
58,class_2
59,class_4
60,class_3
61,class_9
62,class_3
63,class_3
64,class_9
65,class_5
66,class_9
67,class_7
68,class_5
69,class_7
70,class_1
71,class_10
72,class_10
73,class_11
74,class_10
75,class_6
76,class_10
77,class_7
78,class_10
79,class_1
80,class_3
81,class_2
82,class_2
83,class_7
84,class_11
85,class_5
86,class_7
87,class_9
88,class_0
89,class_8
90,class_8
91,class_6
92,class_5
93,class_3
94,class_5
95,class_7
96,class_9
97,class_9
98,class_10
99,class_0
100,class_9
101,class_0
102,class_7
103,class_5
104,class_6
105,class_3
106,class_7
107,class_2
108,class_1
109,class_6
110,class_5
111,class_10
112,class_10
113,class_8
114,class_5
115,class_8
116,class_2
117,class_6
118,class_1
119,class_11
120,class_10
121,class_0
122,class_2
123,class_7
124,class_2
125,class_3
126,class_2
127,class_11
128,class_1
129,class_3
130,class_6
131,class_8
132,class_9
133,class_2
134,class_9
135,class_3
136,class_2
137,class_7
138,class_9
139,class_4
140,class_3
141,class_3
142,class_10
143,class_6
144,class_6
145,class_4
146,class_6
147,class_6
148,class_5
149,class_10
150,class_8
151,class_4
152,class_6
153,class_0
154,class_8
155,class_0
156,class_8
157,class_9
158,class_0
159,class_11
160,class_5
161,class_6
162,class_10
163,class_1
164,class_1
165,class_11
166,class_4
167,class_1
168,class_8
169,class_6
170,class_0
171,class_8
172,class_9
173,class_2
174,class_11
175,class_1
176,class_6
177,class_5
178,class_8
179,class_0
180,class_10
181,class_0
182,class_6
183,class_7
184,class_8
185,class_9
186,class_9
187,class_5
188,class_1
189,class_2
190,class_1
191,class_11
192,class_6
193,class_6
194,class_8
195,class_10
196,class_0
197,class_8
198,class_7
199,class_4
200,class_6
201,class_3
202,class_5
203,class_3
204,class_9
205,class_5
206,class_9
207,class_9
208,class_2
209,class_2
210,class_7
211,class_5
212,class_8
213,class_6
214,class_8
215,class_11
216,class_6
217,class_8
218,class_4
219,class_3
220,class_5
221,class_6
222,class_2
223,class_1
224,class_2
225,class_11
226,class_10
227,class_9
228,class_3
229,class_4
230,class_1
231,class_8
232,class_3
233,class_3
234,class_6
235,class_10
236,class_11
237,class_11
238,class_6
239,class_0
240,class_2
241,class_11
242,class_8
243,class_0
244,class_3
245,class_9
246,class_0
247,class_1
248,class_11
249,class_9
250,class_3
251,class_4
252,class_6
253,class_4
254,class_8
255,class_1
256,class_9
257,class_5
258,class_5
259,class_0
260,class_7
261,class_2
262,class_10
263,class_10
264,class_8
265,class_3
266,class_1
267,class_7
268,class_9
